Code,Location,Parent,Children
CFK,Chlef Algeria,MRS,N/A
CFN,Ireland,DUB,N/A
CFR,Caen France,LYS,N/A
CFS,Coffs Harbour Australia,SYD,N/A
CFU,Greece,ATH,[GPA]
CGA,United States,KLW,N/A
CGB,Cuiaba Brazil,GRU,[AFL; BVH; JIA; JPR; OAL; OPS; SMT; TGQ]
CGD,China,CAN,N/A
CGH,Sao Paulo,SDU,[BAT; CLV; CNF; CXJ; DOU; FRC; IOS; JJG; LDB; MII; NVT; SDU; SJP; UDI]
CGI,United States,ORD,N/A
CGK,Jakarta,DPS,[BDJ; BKS; BPN; BTH; BTJ; BUU; BWX; DJB; DPS; DTB; JOG; KNO; LLJ; MDC; MLG; PDG; PGK; PKU; PKY; PLM; PNK; SOC; SRG; SRI; SUB; TJQ; TKG; TNJ; UPG; YIA]
CGM,Mambajao Philippines,CEB,N/A
CGN,Cologne Germany,TXL,N/A
CGO,Zhengzhou China,KMG,[UCB; WGN]
CGP,Chittagong,DAC,[DAC]
CGQ,China,PVG,N/A
CGR,Brazil,GRU,N/A
CGY,Laguindingan Philippines,MNL,N/A
CHA,Chattanooga United States,ATL,N/A
CHC,New Zealand,AKL,[DUD; HKK; IVC]
CHG,China,DLC,[YSQ]
CHH,Peru,LIM,N/A
CHO,United States,CLT,N/A
CHQ,Chania Greece,ATH,N/A
CHS,United States,CLT,N/A
CHT,Waitangi New Zealand,WLG,N/A
CHU,United States,CKD,N/A
CHX,Changuinola Panama,PAC,N/A
CHY,Solomon Islands,GZO,N/A
CIA,Rome Italy,STN,[HHN]
CID,United States,ORD,N/A
CIF,China,HET,[HET]
CIH,China,TYN,N/A
CIJ,Cobija Bolivia,LPB,N/A
CIK,United States,FYU,N/A
CIT,Chimkent,TSE,N/A
CIU,Sault Ste,MSP,N/A
CIX,Chiclayo Peru,LIM,N/A
CIY,Italy,MXP,N/A
CIZ,Brazil,MAO,N/A
CJA,Cajamarca Peru,LIM,N/A
CJB,India,MAA,N/A
CJC,Calama,SCL,[SCL]
CJF,Australia,PER,N/A
CJJ,Chongju South Korea,CJU,N/A
CJL,Pakistan,ISB,N/A
CJM,Thailand,DMK,N/A
CJS,Ciudad Juarez Mexico,MEX,N/A
CJU,Cheju,GMP,[CJJ; GMP; KPO; KUV; KWJ; MWX; TAE; WJU; YNY]
CKB,Clarksburg United States,ORD,N/A
CKD,United States,RDV,[CHU]
CKG,Chongqing China,PEK,[BAR; JIQ; YTY]
CKH,Russian Federation,YKS,N/A
CKO,United States,TEC,[TEC]
CKS,Brazil,CNF,N/A
CKX,United States,TKJ,N/A
CKY,Guinea,DSS,N/A
CKZ,Turkey,ESB,N/A
CLD,Carlsbad United States,TSM,N/A
CLE, International (CLE) is a large airport in United States,ORD,N/A
CLJ,Cluj-Napoca,OTP,N/A
CLL,College Station United States,DFW,N/A
CLO,Cali,BOG,[GPI; TCO]
CLP, (CLP) is a smaller airport in United States,DLG,N/A
CLQ,Mexico,MEX,N/A
CLT,United States,ATL,[AVL; AVP; BKW; CAE; CHO; CHS; CRW; EWN; FAY; FLO; GSO; HHH; HTS; ILM; LYH; MYR; OAJ; ORF; PGV; PHF; ROA; SBY; TYS]
CLV,Brazil,CGH,N/A
CLY,Calvi France,MRS,N/A
CMA,Australia,XTG,[SGO; XTG]
CMB,Colombo,MAA,[DWO; HRI]
CME,Mexico,MEX,N/A
CMF,Chambery France,STN,N/A
CMG,Brazil,BYO,N/A
CMH,United States,ORD,N/A
CMI,United States,ORD,N/A
CMK, You can fly to 2 destinations with 1 airline in scheduled passenger traffic,LLW,[VUU]
